old_wardCode,old_districtCode,old_provinceCode,old_ward,old_district,old_province,old_fullAddress,new_wardCode,new_provinceCode,new_ward,new_province,new_fullAddress,notSure,note
31261,925,92,Thị trấn Cờ Đỏ,Huyện Cờ Đỏ,Thành phố Cần Thơ,"Thị trấn Cờ Đỏ, Huyện Cờ Đỏ, Thành phố Cần Thơ",31261,92,Xã Cờ Đỏ,Thành phố Cần Thơ,"Xã Cờ Đỏ, Thành phố Cần Thơ",False,
31249,925,92,Xã Thạnh Phú,Huyện Cờ Đỏ,Thành phố Cần Thơ,"Xã Thạnh Phú, Huyện Cờ Đỏ, Thành phố Cần Thơ",31249,92,Xã Thạnh Phú,Thành phố Cần Thơ,"Xã Thạnh Phú, Thành phố Cần Thơ",False,
31264,925,92,Xã Thới Hưng,Huyện Cờ Đỏ,Thành phố Cần Thơ,"Xã Thới Hưng, Huyện Cờ Đỏ, Thành phố Cần Thơ",31264,92,Xã Thới Hưng,Thành phố Cần Thơ,"Xã Thới Hưng, Thành phố Cần Thơ",False,
31277,925,92,Xã Thới Xuân,Huyện Cờ Đỏ,Thành phố Cần Thơ,"Xã Thới Xuân, Huyện Cờ Đỏ, Thành phố Cần Thơ",31261,92,Xã Cờ Đỏ,Thành phố Cần Thơ,"Xã Cờ Đỏ, Thành phố Cần Thơ",False,
31276,925,92,Xã Thới Đông,Huyện Cờ Đỏ,Thành phố Cần Thơ,"Xã Thới Đông, Huyện Cờ Đỏ, Thành phố Cần Thơ",31261,92,Xã Cờ Đỏ,Thành phố Cần Thơ,"Xã Cờ Đỏ, Thành phố Cần Thơ",False,
31222,925,92,Xã Trung An,Huyện Cờ Đỏ,Thành phố Cần Thơ,"Xã Trung An, Huyện Cờ Đỏ, Thành phố Cần Thơ",31217,92,Phường Trung Nhứt,Thành phố Cần Thơ,"Phường Trung Nhứt, Thành phố Cần Thơ",False,
31255,925,92,Xã Trung Hưng,Huyện Cờ Đỏ,Thành phố Cần Thơ,"Xã Trung Hưng, Huyện Cờ Đỏ, Thành phố Cần Thơ",31255,92,Xã Trung Hưng,Thành phố Cần Thơ,"Xã Trung Hưng, Thành phố Cần Thơ",False,
31225,925,92,Xã Trung Thạnh,Huyện Cờ Đỏ,Thành phố Cần Thơ,"Xã Trung Thạnh, Huyện Cờ Đỏ, Thành phố Cần Thơ",31255,92,Xã Trung Hưng,Thành phố Cần Thơ,"Xã Trung Hưng, Thành phố Cần Thơ",False,
31273,925,92,Xã Đông Hiệp,Huyện Cờ Đỏ,Thành phố Cần Thơ,"Xã Đông Hiệp, Huyện Cờ Đỏ, Thành phố Cần Thơ",31273,92,Xã Đông Hiệp,Thành phố Cần Thơ,"Xã Đông Hiệp, Thành phố Cần Thơ",False,
31274,925,92,Xã Đông Thắng,Huyện Cờ Đỏ,Thành phố Cần Thơ,"Xã Đông Thắng, Huyện Cờ Đỏ, Thành phố Cần Thơ",31273,92,Xã Đông Hiệp,Thành phố Cần Thơ,"Xã Đông Hiệp, Thành phố Cần Thơ",False,
31299,926,92,Thị trấn Phong Điền,Huyện Phong Điền,Thành phố Cần Thơ,"Thị trấn Phong Điền, Huyện Phong Điền, Thành phố Cần Thơ",31299,92,Xã Phong Điền,Thành phố Cần Thơ,"Xã Phong Điền, Thành phố Cần Thơ",False,
31303,926,92,Xã Giai Xuân,Huyện Phong Điền,Thành phố Cần Thơ,"Xã Giai Xuân, Huyện Phong Điền, Thành phố Cần Thơ",31299,92,Xã Phong Điền,Thành phố Cần Thơ,"Xã Phong Điền, Thành phố Cần Thơ",False,
