provinceName,provinceCode
Thành phố Cần Thơ,92
Thành phố Huế,46
Thành phố Hà Nội,01
Thành phố Hải Phòng,31
Thành phố Hồ Chí Minh,79
Thành phố Đà Nẵng,48
Tỉnh An Giang,89
Tỉnh Bà Rịa - Vũng Tàu,77
Tỉnh Bình Dương,74
Tỉnh Bình Phước,70
Tỉnh Bình Thuận,60
Tỉnh Bình Định,52
Tỉnh Bạc Liêu,95
Tỉnh Bắc Giang,24
Tỉnh Bắc Kạn,06
Tỉnh Bắc Ninh,27
Tỉnh Bến Tre,83
Tỉnh Cao Bằng,04
Tỉnh Cà Mau,96
Tỉnh Gia Lai,64
Tỉnh Hoà Bình,17
Tỉnh Hà Giang,02
Tỉnh Hà Nam,35
Tỉnh Hà Tĩnh,42
Tỉnh Hưng Yên,33
Tỉnh Hải Dương,30
Tỉnh Hậu Giang,93
Tỉnh Khánh Hòa,56
Tỉnh Kiên Giang,91
Tỉnh Kon Tum,62
Tỉnh Lai Châu,12
Tỉnh Long An,80
Tỉnh Lào Cai,10
Tỉnh Lâm Đồng,68
Tỉnh Lạng Sơn,20
Tỉnh Nam Định,36
Tỉnh Nghệ An,40
Tỉnh Ninh Bình,37
Tỉnh Ninh Thuận,58
Tỉnh Phú Thọ,25
Tỉnh Phú Yên,54
Tỉnh Quảng Bình,44
Tỉnh Quảng Nam,49
Tỉnh Quảng Ngãi,51
Tỉnh Quảng Ninh,22
Tỉnh Quảng Trị,45
Tỉnh Sóc Trăng,94
Tỉnh Sơn La,14
Tỉnh Thanh Hóa,38
Tỉnh Thái Bình,34
Tỉnh Thái Nguyên,19
Tỉnh Tiền Giang,82
Tỉnh Trà Vinh,84
Tỉnh Tuyên Quang,08
Tỉnh Tây Ninh,72
Tỉnh Vĩnh Long,86
Tỉnh Vĩnh Phúc,26
Tỉnh Yên Bái,15
Tỉnh Điện Biên,11
Tỉnh Đắk Lắk,66
Tỉnh Đắk Nông,67
Tỉnh Đồng Nai,75
Tỉnh Đồng Tháp,87
