province_key,district_key,alias_keyword,source
thanhphohochiminh,thanhphothuduc,quan9,
thanhphohochiminh,thanhphothuduc,q9,
thanhphohochiminh,thanhphothuduc,district9,
thanhphohochiminh,thanhphothuduc,quan09,
thanhphohochiminh,thanhphothuduc,q09,
thanhphohochiminh,thanhphothuduc,district09,
thanhphohochiminh,thanhphothuduc,quan2,
thanhphohochiminh,thanhphothuduc,q2,
thanhphohochiminh,thanhphothuduc,district2,
thanhphohochiminh,thanhphothuduc,quan02,
thanhphohochiminh,thanhphothuduc,q02,
thanhphohochiminh,thanhphothuduc,district02,
tinhdongthap,thanhphohongngu,hongnguthixa,
tinhdongthap,thanhphohongngu,thixahongngu,
tinhdongthap,thanhphohongngu,txhongngu,
tinhnamdinh,thanhphonamdinh,huyenmyloc,https://baochinhphu.vn/nam-dinh-sap-xep-2-don-vi-hanh-chinh-cap-huyen-va-79-don-vi-hanh-chinh-cap-xa-102240731011800921.htm
tinhnamdinh,thanhphonamdinh,myloc,https://baochinhphu.vn/nam-dinh-sap-xep-2-don-vi-hanh-chinh-cap-huyen-va-79-don-vi-hanh-chinh-cap-xa-102240731011800921.htm
tinhthanhhoa,thanhphothanhhoa,huyendongson,https://baochinhphu.vn/nhap-toan-bo-huyen-dong-son-vao-thanh-pho-thanh-hoa-102241105185820863.htm
tinhthanhhoa,thanhphothanhhoa,dongson,https://baochinhphu.vn/nhap-toan-bo-huyen-dong-son-vao-thanh-pho-thanh-hoa-102241105185820863.htm
tinhthanhhoa,thixanghison,huyentinhgia,
tinhthanhhoa,thixanghison,tinhgia,
tinhbariavungtau,thanhphophumy,huyentanthanh,
tinhbariavungtau,thanhphophumy,tanthanh,
tinhbariavungtau,huyenlongdat,huyendatdo,
tinhbariavungtau,huyenlongdat,datdo,
tinhbariavungtau,huyenlongdat,huyenlongdien,
tinhbariavungtau,huyenlongdat,longdien,
tinhbacgiang,thanhphobacgiang,huyenyendung,
tinhbacgiang,thanhphobacgiang,yendung,
tinhninhbinh,thanhphohoalu,thanhphoninhbinh,https://baochinhphu.vn/sap-xep-don-vi-hanh-chinh-cap-huyen-xa-tinh-ninh-binh-102241216144803103.htm
tinhninhbinh,thanhphohoalu,tpninhbinh,https://baochinhphu.vn/sap-xep-don-vi-hanh-chinh-cap-huyen-xa-tinh-ninh-binh-102241216144803103.htm
tinhninhbinh,thanhphohoalu,ninhbinh,https://baochinhphu.vn/sap-xep-don-vi-hanh-chinh-cap-huyen-xa-tinh-ninh-binh-102241216144803103.htm
tinhlamdong,huyendahuoai,huyencattien,
tinhlamdong,huyendahuoai,cattien,
tinhlamdong,huyendahuoai,huyendateh,
tinhlamdong,huyendahuoai,dateh,
tinhquangninh,thanhphohalong,huyenhoanhbo,
tinhquangninh,thanhphohalong,hoanhbo,
tinhhoabinh,thanhphohoabinh,huyenkyson,
tinhhoabinh,thanhphohoabinh,kyson,
tinhcaobang,huyenquanghoa,huyenphuchoa,
tinhcaobang,huyenquanghoa,phuchoa,
tinhcaobang,huyenquanghoa,huyenquanguyen,
tinhcaobang,huyenquanghoa,quanguyen,
tinhcaobang,huyentrungkhanh,huyentralinh,
tinhcaobang,huyentrungkhanh,tralinh,
tinhcaobang,huyenhaquang,huyenthongnong,
tinhcaobang,huyenhaquang,thongnong,
thanhphohue,huyenphuloc,huyennamdong,https://baochinhphu.vn/thanh-pho-hue-co-9-don-vi-hanh-chinh-cap-huyen-133-don-vi-hanh-chinh-cap-xa-102241206104837388.htm
thanhphohue,huyenphuloc,namdong,https://baochinhphu.vn/thanh-pho-hue-co-9-don-vi-hanh-chinh-cap-huyen-133-don-vi-hanh-chinh-cap-xa-102241206104837388.htm
tinhquangnam,huyenqueson,huyennongson,
tinhquangnam,huyenqueson,nongson,
tinhquangngai,huyentrabong,huyentaytra,
tinhquangngai,huyentrabong,taytra,
tinhnghean,thanhphovinh,thixacualo,https://xaydungchinhsach.chinhphu.vn/nghi-quyet-1243-nq-ubtvqh-sap-xep-don-vi-hanh-chinh-tinh-nghe-an-11924110306185815.htm
tinhnghean,thanhphovinh,txcualo,https://xaydungchinhsach.chinhphu.vn/nghi-quyet-1243-nq-ubtvqh-sap-xep-don-vi-hanh-chinh-tinh-nghe-an-11924110306185815.htm
tinhnghean,thanhphovinh,cualo,https://xaydungchinhsach.chinhphu.vn/nghi-quyet-1243-nq-ubtvqh-sap-xep-don-vi-hanh-chinh-tinh-nghe-an-11924110306185815.htm
tinhninhbinh,thanhphohoalu,huyenhoalu,https://baochinhphu.vn/sap-xep-don-vi-hanh-chinh-cap-huyen-xa-tinh-ninh-binh-102241216144803103.htm
