districtName,districtCode,provinceName,provinceCode
Huyện Cờ Đỏ,925,Thành phố Cần Thơ,92
Huyện Phong Điền,926,Thành phố Cần Thơ,92
Huyện Thới Lai,927,Thành phố Cần Thơ,92
Huyện Vĩnh Thạnh,924,Thành phố Cần Thơ,92
Quận Bình Thuỷ,918,Thành phố Cần Thơ,92
Quận Cái Răng,919,Thành phố Cần Thơ,92
Quận Ninh Kiều,916,Thành phố Cần Thơ,92
Quận Thốt Nốt,923,Thành phố Cần Thơ,92
Quận Ô Môn,917,Thành phố Cần Thơ,92
Huyện A Lưới,481,Thành phố Huế,46
Huyện Phú Lộc,482,Thành phố Huế,46
Huyện Phú Vang,478,Thành phố Huế,46
Huyện Quảng Điền,477,Thành phố Huế,46
Quận Phú Xuân,475,Thành phố Huế,46
Quận Thuận Hóa,474,Thành phố Huế,46
Thị xã Hương Thủy,479,Thành phố Huế,46
Thị xã Hương Trà,480,Thành phố Huế,46
Thị xã Phong Điền,476,Thành phố Huế,46
Huyện An Lão,313,Thành phố Hải Phòng,31
Huyện Bạch Long Vĩ,318,Thành phố Hải Phòng,31
Huyện Cát Hải,317,Thành phố Hải Phòng,31
Huyện Kiến Thuỵ,314,Thành phố Hải Phòng,31
Huyện Tiên Lãng,315,Thành phố Hải Phòng,31
Huyện Vĩnh Bảo,316,Thành phố Hải Phòng,31
Quận An Dương,312,Thành phố Hải Phòng,31
Quận Dương Kinh,309,Thành phố Hải Phòng,31
Quận Hải An,306,Thành phố Hải Phòng,31
Quận Hồng Bàng,303,Thành phố Hải Phòng,31
Quận Kiến An,307,Thành phố Hải Phòng,31
Quận Lê Chân,305,Thành phố Hải Phòng,31
Quận Ngô Quyền,304,Thành phố Hải Phòng,31
Quận Đồ Sơn,308,Thành phố Hải Phòng,31
Thành phố Thuỷ Nguyên,311,Thành phố Hải Phòng,31
Huyện Bình Chánh,785,Thành phố Hồ Chí Minh,79
Huyện Cần Giờ,787,Thành phố Hồ Chí Minh,79
Huyện Củ Chi,783,Thành phố Hồ Chí Minh,79
Huyện Hóc Môn,784,Thành phố Hồ Chí Minh,79
Huyện Nhà Bè,786,Thành phố Hồ Chí Minh,79
Quận 1,760,Thành phố Hồ Chí Minh,79
Quận 10,771,Thành phố Hồ Chí Minh,79
Quận 11,772,Thành phố Hồ Chí Minh,79
Quận 12,761,Thành phố Hồ Chí Minh,79
Quận 3,770,Thành phố Hồ Chí Minh,79
Quận 4,773,Thành phố Hồ Chí Minh,79
Quận 5,774,Thành phố Hồ Chí Minh,79
Quận 6,775,Thành phố Hồ Chí Minh,79
Quận 7,778,Thành phố Hồ Chí Minh,79
Quận 8,776,Thành phố Hồ Chí Minh,79
Quận Bình Thạnh,765,Thành phố Hồ Chí Minh,79
Quận Bình Tân,777,Thành phố Hồ Chí Minh,79
Quận Gò Vấp,764,Thành phố Hồ Chí Minh,79
Quận Phú Nhuận,768,Thành phố Hồ Chí Minh,79
Quận Tân Bình,766,Thành phố Hồ Chí Minh,79
Quận Tân Phú,767,Thành phố Hồ Chí Minh,79
Thành phố Thủ Đức,769,Thành phố Hồ Chí Minh,79
Huyện Hoàng Sa,498,Thành phố Đà Nẵng,48
Huyện Hòa Vang,497,Thành phố Đà Nẵng,48
Quận Cẩm Lệ,495,Thành phố Đà Nẵng,48
Quận Hải Châu,492,Thành phố Đà Nẵng,48
Quận Liên Chiểu,490,Thành phố Đà Nẵng,48
Quận Ngũ Hành Sơn,494,Thành phố Đà Nẵng,48
Quận Sơn Trà,493,Thành phố Đà Nẵng,48
Quận Thanh Khê,491,Thành phố Đà Nẵng,48
Huyện An Phú,886,Tỉnh An Giang,89
Huyện Châu Phú,889,Tỉnh An Giang,89
Huyện Châu Thành,892,Tỉnh An Giang,89
Huyện Chợ Mới,893,Tỉnh An Giang,89
Huyện Phú Tân,888,Tỉnh An Giang,89
Huyện Thoại Sơn,894,Tỉnh An Giang,89
Huyện Tri Tôn,891,Tỉnh An Giang,89
Thành phố Châu Đốc,884,Tỉnh An Giang,89
Thành phố Long Xuyên,883,Tỉnh An Giang,89
Thị xã Tân Châu,887,Tỉnh An Giang,89
Thị xã Tịnh Biên,890,Tỉnh An Giang,89
Huyện Châu Đức,750,Tỉnh Bà Rịa - Vũng Tàu,77
Huyện Côn Đảo,755,Tỉnh Bà Rịa - Vũng Tàu,77
Huyện Long Đất,753,Tỉnh Bà Rịa - Vũng Tàu,77
Huyện Xuyên Mộc,751,Tỉnh Bà Rịa - Vũng Tàu,77
Thành phố Bà Rịa,748,Tỉnh Bà Rịa - Vũng Tàu,77
Thành phố Phú Mỹ,754,Tỉnh Bà Rịa - Vũng Tàu,77
Thành phố Vũng Tàu,747,Tỉnh Bà Rịa - Vũng Tàu,77
Huyện Bàu Bàng,719,Tỉnh Bình Dương,74
Huyện Bắc Tân Uyên,726,Tỉnh Bình Dương,74
Huyện Dầu Tiếng,720,Tỉnh Bình Dương,74
Huyện Phú Giáo,722,Tỉnh Bình Dương,74
Thành phố Bến Cát,721,Tỉnh Bình Dương,74
Thành phố Dĩ An,724,Tỉnh Bình Dương,74
Thành phố Thuận An,725,Tỉnh Bình Dương,74
Thành phố Thủ Dầu Một,718,Tỉnh Bình Dương,74
Thành phố Tân Uyên,723,Tỉnh Bình Dương,74
Huyện Bù Gia Mập,691,Tỉnh Bình Phước,70
Huyện Bù Đăng,696,Tỉnh Bình Phước,70
Huyện Bù Đốp,693,Tỉnh Bình Phước,70
Huyện Hớn Quản,694,Tỉnh Bình Phước,70
Huyện Lộc Ninh,692,Tỉnh Bình Phước,70
Huyện Phú Riềng,698,Tỉnh Bình Phước,70
Huyện Đồng Phú,695,Tỉnh Bình Phước,70
Thành phố Đồng Xoài,689,Tỉnh Bình Phước,70
Thị xã Bình Long,690,Tỉnh Bình Phước,70
Thị xã Chơn Thành,697,Tỉnh Bình Phước,70
Thị xã Phước Long,688,Tỉnh Bình Phước,70
Huyện Bắc Bình,596,Tỉnh Bình Thuận,60
Huyện Hàm Thuận Bắc,597,Tỉnh Bình Thuận,60
Huyện Hàm Thuận Nam,598,Tỉnh Bình Thuận,60
Huyện Hàm Tân,601,Tỉnh Bình Thuận,60
Huyện Phú Quí,602,Tỉnh Bình Thuận,60
Huyện Tuy Phong,595,Tỉnh Bình Thuận,60
Huyện Tánh Linh,599,Tỉnh Bình Thuận,60
Huyện Đức Linh,600,Tỉnh Bình Thuận,60
Thành phố Phan Thiết,593,Tỉnh Bình Thuận,60
Thị xã La Gi,594,Tỉnh Bình Thuận,60
Huyện An Lão,542,Tỉnh Bình Định,52
Huyện Hoài Ân,544,Tỉnh Bình Định,52
Huyện Phù Cát,548,Tỉnh Bình Định,52
Huyện Phù Mỹ,545,Tỉnh Bình Định,52
Huyện Tuy Phước,550,Tỉnh Bình Định,52
Huyện Tây Sơn,547,Tỉnh Bình Định,52
Huyện Vân Canh,551,Tỉnh Bình Định,52
Huyện Vĩnh Thạnh,546,Tỉnh Bình Định,52
Thành phố Quy Nhơn,540,Tỉnh Bình Định,52
