provinceCode,isMergedProvince,districtCode,districtType,wardCode,wardType,isMergedWard,isDividedWard,province,district,ward,newProvince,newWard,newProvinceCode,newWardCode,newWardType,newWardLat,newWardLon,newWardAreaKm2
1,False,1,Quận,1.0,Phường,True,False,Thành phố Hà Nội,Quận Ba Đình,Phường Phúc Xá,Thủ đô Hà Nội,Hồng Hà,1,42.0,phường,21.0567,105.845,15.09
1,False,1,Quận,4.0,Phường,True,False,Thành phố Hà Nội,Quận Ba Đình,Phường Trúc Bạch,Thủ đô Hà Nội,Ba Đình,1,3.0,phường,21.0386,105.838,2.97
1,False,1,Quận,6.0,Phường,True,False,Thành phố Hà Nội,Quận Ba Đình,Phường Vĩnh Phúc,Thủ đô Hà Nội,Ngọc Hà,1,61.0,phường,21.0381,105.816,2.68
1,False,1,Quận,7.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Thủ đô Hà Nội,Giảng Võ,1,30.0,phường,21.0275,105.814,2.6
1,False,1,Quận,7.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Thủ đô Hà Nội,Ngọc Hà,1,61.0,phường,21.0381,105.816,2.68
1,False,1,Quận,8.0,Phường,True,False,Thành phố Hà Nội,Quận Ba Đình,Phường Liễu Giai,Thủ đô Hà Nội,Ngọc Hà,1,61.0,phường,21.0381,105.816,2.68
1,False,1,Quận,13.0,Phường,True,False,Thành phố Hà Nội,Quận Ba Đình,Phường Quán Thánh,Thủ đô Hà Nội,Ba Đình,1,3.0,phường,21.0386,105.838,2.97
1,False,1,Quận,16.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Hà,Thủ đô Hà Nội,Ba Đình,1,3.0,phường,21.0386,105.838,2.97
1,False,1,Quận,16.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Hà,Thủ đô Hà Nội,Ngọc Hà,1,61.0,phường,21.0381,105.816,2.68
1,False,1,Quận,19.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,Thủ đô Hà Nội,Ba Đình,1,3.0,phường,21.0386,105.838,2.97
1,False,1,Quận,19.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,1,Quận,19.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,Thủ đô Hà Nội,Ô Chợ Dừa,1,64.0,phường,21.0243,105.826,1.83
1,False,1,Quận,19.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,Thủ đô Hà Nội,Văn Miếu - Quốc Tử Giám,1,113.0,phường,21.0199,105.837,1.92
1,False,1,Quận,22.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Đội Cấn,Thủ đô Hà Nội,Ba Đình,1,3.0,phường,21.0386,105.838,2.97
1,False,1,Quận,22.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Đội Cấn,Thủ đô Hà Nội,Ngọc Hà,1,61.0,phường,21.0381,105.816,2.68
1,False,1,Quận,25.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Khánh,Thủ đô Hà Nội,Giảng Võ,1,30.0,phường,21.0275,105.814,2.6
1,False,1,Quận,25.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Khánh,Thủ đô Hà Nội,Láng,1,52.0,phường,21.0211,105.806,1.88
1,False,1,Quận,25.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Khánh,Thủ đô Hà Nội,Ngọc Hà,1,61.0,phường,21.0381,105.816,2.68
1,False,1,Quận,28.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Kim Mã,Thủ đô Hà Nội,Ba Đình,1,3.0,phường,21.0386,105.838,2.97
1,False,1,Quận,28.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Kim Mã,Thủ đô Hà Nội,Giảng Võ,1,30.0,phường,21.0275,105.814,2.6
1,False,1,Quận,28.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Kim Mã,Thủ đô Hà Nội,Ngọc Hà,1,61.0,phường,21.0381,105.816,2.68
1,False,1,Quận,31.0,Phường,True,False,Thành phố Hà Nội,Quận Ba Đình,Phường Giảng Võ,Thủ đô Hà Nội,Giảng Võ,1,30.0,phường,21.0275,105.814,2.6
1,False,1,Quận,34.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Thành Công,Thủ đô Hà Nội,Giảng Võ,1,30.0,phường,21.0275,105.814,2.6
1,False,1,Quận,34.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Thành Công,Thủ đô Hà Nội,Ô Chợ Dừa,1,64.0,phường,21.0243,105.826,1.83
1,False,2,Quận,37.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phúc Tân,Thủ đô Hà Nội,Hồng Hà,1,42.0,phường,21.0567,105.845,15.09
1,False,2,Quận,40.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Đồng Xuân,Thủ đô Hà Nội,Ba Đình,1,3.0,phường,21.0386,105.838,2.97
1,False,2,Quận,40.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Đồng Xuân,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,2,Quận,43.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Mã,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,2,Quận,46.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Buồm,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,2,Quận,49.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Đào,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,2,Quận,52.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bồ,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,2,Quận,55.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Đông,Thủ đô Hà Nội,Ba Đình,1,3.0,phường,21.0386,105.838,2.97
1,False,2,Quận,55.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Đông,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,2,Quận,58.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Lý Thái Tổ,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,2,Quận,61.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bạc,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,2,Quận,64.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Gai,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,2,Quận,67.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Chương Dương,Thủ đô Hà Nội,Hồng Hà,1,42.0,phường,21.0567,105.845,15.09
1,False,2,Quận,70.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Trống,Thủ đô Hà Nội,Cửa Nam,1,15.0,phường,21.0226,105.851,1.68
1,False,2,Quận,70.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Trống,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,2,Quận,73.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Nam,Thủ đô Hà Nội,Ba Đình,1,3.0,phường,21.0386,105.838,2.97
1,False,2,Quận,73.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Nam,Thủ đô Hà Nội,Cửa Nam,1,15.0,phường,21.0226,105.851,1.68
1,False,2,Quận,73.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Nam,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,2,Quận,73.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Nam,Thủ đô Hà Nội,Văn Miếu - Quốc Tử Giám,1,113.0,phường,21.0199,105.837,1.92
1,False,2,Quận,76.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bông,Thủ đô Hà Nội,Cửa Nam,1,15.0,phường,21.0226,105.851,1.68
1,False,2,Quận,76.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bông,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,2,Quận,79.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Tràng Tiền,Thủ đô Hà Nội,Cửa Nam,1,15.0,phường,21.0226,105.851,1.68
1,False,2,Quận,79.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Tràng Tiền,Thủ đô Hà Nội,Hoàn Kiếm,1,39.0,phường,21.032,105.85,1.91
1,False,2,Quận,82.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Trần Hưng Đạo,Thủ đô Hà Nội,Cửa Nam,1,15.0,phường,21.0226,105.851,1.68
1,False,2,Quận,85.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phan Chu Trinh,Thủ đô Hà Nội,Cửa Nam,1,15.0,phường,21.0226,105.851,1.68
1,False,2,Quận,88.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bài,Thủ đô Hà Nội,Cửa Nam,1,15.0,phường,21.0226,105.851,1.68
1,False,3,Quận,91.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Phú Thượng,Thủ đô Hà Nội,Hồng Hà,1,42.0,phường,21.0567,105.845,15.09
1,False,3,Quận,91.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Phú Thượng,Thủ đô Hà Nội,Phú Thượng,1,71.0,phường,21.086,105.802,7.21
1,False,3,Quận,91.0,Phường,True,True,Thành phố Hà Nội,Quận Tây Hồ,Phường Phú Thượng,Thủ đô Hà Nội,Tây Hồ,1,89.0,phường,21.058,105.82,10.72
