province,district,ward,wardLat,wardLon,wardBounds,wardFormattedAddress
Thành phố Cần Thơ,Huyện Thới Lai,Xã Tân Thạnh,10.102197,105.576749,"10.067995,105.555353 – 10.128424,105.595179","Tân Thạnh, Thới Lai, Cần Thơ, Vietnam"
Thành phố Cần Thơ,Huyện Vĩnh Thạnh,Xã Thạnh Quới,10.215303,105.371668,"10.163729,105.33702 – 10.24797,105.414237","Thạnh Quới, Vĩnh Thạnh, Cần Thơ, Vietnam"
Thành phố Cần Thơ,Quận Bình Thủy,Phường Bùi Hữu Nghĩa,10.079978,105.755656,"10.054135,105.728044 – 10.0996,105.781045","Bùi Hữu Nghĩa, Bình Thủy, Cần Thơ, Vietnam"
Thành phố Cần Thơ,Quận Bình Thủy,Phường Long Tuyền,10.029751,105.729249,"10.003566,105.7031 – 10.047754,105.745855","Long Tuyền, Bình Thủy, Cần Thơ, Vietnam"
Thành phố Cần Thơ,Quận Thốt Nốt,Phường Thốt Nốt,10.272502,105.530263,"10.260322,105.496431 – 10.283779,105.543981","Thốt Nốt, Cần Thơ, Vietnam"
Thành phố Hà Nội,Huyện Ba Vì,Thị trấn Tây Đằng,21.206743,105.427309,"21.173607,105.393047 – 21.237583,105.460124","Tây Đằng, Ba Vì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Ba Vì,Xã Chu Minh,21.199303,105.444884,"21.184206,105.429261 – 21.211242,105.455722","Chu Minh, Ba Vì, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Ba Vì,Xã Cẩm Lĩnh,21.164191,105.354101,"21.137085,105.33086 – 21.204459,105.384081","Cẩm Lĩnh, Ba Vì, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Ba Vì,Xã Minh Quang,21.074536,105.318973,"21.037723,105.293999 – 21.118612,105.357857","Minh Quang, Ba Vì, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Ba Vì,Xã Thụy An,21.159853,105.400951,"21.13397,105.375899 – 21.181425,105.436912","Thụy An, Ba Vì, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Chương Mỹ,Xã Lam Điền,20.886701,105.717514,"20.872957,105.700504 – 20.898689,105.739353","Lam Điền, Chương Mỹ, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Chương Mỹ,Xã Tân Tiến,20.874459,105.600202,"20.83521,105.583055 – 20.895822,105.633588","Tân Tiến, Chương Mỹ, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Gia Lâm,Thị trấn Trâu Quỳ,21.007839,105.937676,"20.995299,105.919941 – 21.022282,105.956032","tt. Trâu Quỳ, Gia Lâm, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Gia Lâm,Xã Bát Tràng,20.985507,105.914729,"20.97227,105.900822 – 21.004454,105.928856","Bát Tràng, Gia Lâm, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Gia Lâm,Xã Cổ Bi,21.030362,105.943377,"21.015732,105.926957 – 21.048498,105.953179","Cổ Bi, Gia Lâm, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Gia Lâm,Xã Phú Sơn,21.02517,105.979066,"21.00824,105.951548 – 21.04269,106.009419","Phú Sơn, Gia Lâm, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Gia Lâm,Xã Đa Tốn,20.985228,105.931801,"20.969895,105.918331 – 20.999707,105.954144","Đa Tốn, Gia Lâm, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Gia Lâm,Xã Đặng Xá,21.028761,105.961175,"21.012647,105.947299 – 21.051822,105.98249","Đặng Xá, Gia Lâm, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Hoài Đức,Xã An Khánh,20.999471,105.720448,"20.978551,105.706158 – 21.02098,105.73564","An Khánh, Hoài Đức, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Hoài Đức,Xã An Thượng,20.989532,105.702846,"20.973161,105.676951 – 21.006885,105.715091","An Thượng, Hoài Đức District, Hanoi, Vietnam"
Thành phố Hà Nội,Huyện Hoài Đức,Xã Kim Chung,21.046958,105.708713,"21.03498,105.703819 – 21.070645,105.730083","Kim Chung, Hoài Đức, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Hoài Đức,Xã La Phù,20.979915,105.732558,"20.96693,105.721521 – 20.991373,105.741649","La Phù, Hoài Đức, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Hoài Đức,Xã Song Phương,21.013827,105.691112,"20.999907,105.673199 – 21.030954,105.712509","Song Phương, Hoài Đức, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Hoài Đức,Xã Vân Canh,21.033149,105.732183,"21.012206,105.717573 – 21.046775,105.739074","Vân Canh, Hoài Đức, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Hoài Đức,Xã Vân Côn,20.991737,105.679379,"20.969254,105.663114 – 21.009843,105.69603","Vân Côn, Hoài Đức, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Mê Linh,Xã Kim Hoa,21.22074,105.740985,"21.199977,105.724354 – 21.233022,105.754266","Kim Hoa, Mê Linh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Mê Linh,Xã Mê Linh,21.160141,105.738051,"21.148314,105.712381 – 21.181971,105.753708","Mê Linh, Hà Nội, Vietnam"
Thành phố Hà Nội,Huyện Mê Linh,Xã Thanh Lâm,21.211374,105.717514,"21.182491,105.693498 – 21.227862,105.755939","Thanh Lâm, Mê Linh, Hà Nội, Vietnam"
