provinceCode,isMergedProvince,districtCode,districtType,wardCode,wardType,isMergedWard,isDividedWard,province,district,ward,newProvince,newWard,newWardShort,newProvinceCode,newProvinceLat,newProvinceLon,newWardCode,newWardType,newWardLat,newWardLon,newWardAreaKm2
1,False,1,Quận,1.0,Phường,True,False,Thành phố Hà Nội,Quận Ba Đình,Phường Phúc Xá,Thành phố Hà Nội,Phường Hồng Hà,Hồng Hà,01,21.0001,105.698,00097,Phường,21.0567,105.845,15.09
1,False,1,Quận,4.0,Phường,True,False,Thành phố Hà Nội,Quận Ba Đình,Phường Trúc Bạch,Thành phố Hà Nội,Phường Ba Đình,Ba Đình,01,21.0001,105.698,00004,Phường,21.0386,105.838,2.97
1,False,1,Quận,6.0,Phường,True,False,Thành phố Hà Nội,Quận Ba Đình,Phường Vĩnh Phúc,Thành phố Hà Nội,Phường Ngọc Hà,Ngọc Hà,01,21.0001,105.698,00008,Phường,21.0381,105.816,2.68
1,False,1,Quận,7.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Thành phố Hà Nội,Phường Giảng Võ,Giảng Võ,01,21.0001,105.698,00025,Phường,21.0275,105.814,2.6
1,False,1,Quận,7.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Thành phố Hà Nội,Phường Ngọc Hà,Ngọc Hà,01,21.0001,105.698,00008,Phường,21.0381,105.816,2.68
1,False,1,Quận,8.0,Phường,True,False,Thành phố Hà Nội,Quận Ba Đình,Phường Liễu Giai,Thành phố Hà Nội,Phường Ngọc Hà,Ngọc Hà,01,21.0001,105.698,00008,Phường,21.0381,105.816,2.68
1,False,1,Quận,13.0,Phường,True,False,Thành phố Hà Nội,Quận Ba Đình,Phường Quán Thánh,Thành phố Hà Nội,Phường Ba Đình,Ba Đình,01,21.0001,105.698,00004,Phường,21.0386,105.838,2.97
1,False,1,Quận,16.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Hà,Thành phố Hà Nội,Phường Ba Đình,Ba Đình,01,21.0001,105.698,00004,Phường,21.0386,105.838,2.97
1,False,1,Quận,16.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Hà,Thành phố Hà Nội,Phường Ngọc Hà,Ngọc Hà,01,21.0001,105.698,00008,Phường,21.0381,105.816,2.68
1,False,1,Quận,19.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,Thành phố Hà Nội,Phường Ba Đình,Ba Đình,01,21.0001,105.698,00004,Phường,21.0386,105.838,2.97
1,False,1,Quận,19.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,Thành phố Hà Nội,Phường Hoàn Kiếm,Hoàn Kiếm,01,21.0001,105.698,00070,Phường,21.032,105.85,1.91
1,False,1,Quận,19.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,Thành phố Hà Nội,Phường Ô Chợ Dừa,Ô Chợ Dừa,01,21.0001,105.698,00190,Phường,21.0243,105.826,1.83
1,False,1,Quận,19.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,Thành phố Hà Nội,Phường Văn Miếu - Quốc Tử Giám,Văn Miếu - Quốc Tử Giám,01,21.0001,105.698,00226,Phường,21.0199,105.837,1.92
1,False,1,Quận,22.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Đội Cấn,Thành phố Hà Nội,Phường Ba Đình,Ba Đình,01,21.0001,105.698,00004,Phường,21.0386,105.838,2.97
1,False,1,Quận,22.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Đội Cấn,Thành phố Hà Nội,Phường Ngọc Hà,Ngọc Hà,01,21.0001,105.698,00008,Phường,21.0381,105.816,2.68
1,False,1,Quận,25.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Khánh,Thành phố Hà Nội,Phường Giảng Võ,Giảng Võ,01,21.0001,105.698,00025,Phường,21.0275,105.814,2.6
1,False,1,Quận,25.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Khánh,Thành phố Hà Nội,Phường Láng,Láng,01,21.0001,105.698,00199,Phường,21.0211,105.806,1.88
1,False,1,Quận,25.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Khánh,Thành phố Hà Nội,Phường Ngọc Hà,Ngọc Hà,01,21.0001,105.698,00008,Phường,21.0381,105.816,2.68
1,False,1,Quận,28.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Kim Mã,Thành phố Hà Nội,Phường Ba Đình,Ba Đình,01,21.0001,105.698,00004,Phường,21.0386,105.838,2.97
1,False,1,Quận,28.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Kim Mã,Thành phố Hà Nội,Phường Giảng Võ,Giảng Võ,01,21.0001,105.698,00025,Phường,21.0275,105.814,2.6
1,False,1,Quận,28.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Kim Mã,Thành phố Hà Nội,Phường Ngọc Hà,Ngọc Hà,01,21.0001,105.698,00008,Phường,21.0381,105.816,2.68
1,False,1,Quận,31.0,Phường,True,False,Thành phố Hà Nội,Quận Ba Đình,Phường Giảng Võ,Thành phố Hà Nội,Phường Giảng Võ,Giảng Võ,01,21.0001,105.698,00025,Phường,21.0275,105.814,2.6
1,False,1,Quận,34.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Thành Công,Thành phố Hà Nội,Phường Giảng Võ,Giảng Võ,01,21.0001,105.698,00025,Phường,21.0275,105.814,2.6
1,False,1,Quận,34.0,Phường,True,True,Thành phố Hà Nội,Quận Ba Đình,Phường Thành Công,Thành phố Hà Nội,Phường Ô Chợ Dừa,Ô Chợ Dừa,01,21.0001,105.698,00190,Phường,21.0243,105.826,1.83
1,False,2,Quận,37.0,Phường,True,False,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phúc Tân,Thành phố Hà Nội,Phường Hồng Hà,Hồng Hà,01,21.0001,105.698,00097,Phường,21.0567,105.845,15.09
1,False,2,Quận,40.0,Phường,True,True,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Đồng Xuân,Thành phố Hà Nội,Phường Ba Đình,Ba Đình,01,21.0001,105.698,00004,Phường,21.0386,105.838,2.97
