province,district,wikipedia,element
Thành phố Cần Thơ,Huyện Cờ Đỏ,https://vi.wikipedia.org/wiki/C%E1%BB%9D_%C4%90%E1%BB%8F_(huy%E1%BB%87n)#%C4%90%C6%B0%E1%BB%9Dng_ph%E1%BB%91,"Hà Huy Giáp,Lê Đức Thọ,Nguyễn Trọng Quyền,Nguyễn Văn Nhung,Trần Ngọc Hoằng,Vành đai thị trấn Cờ Đỏ"
Thành phố Cần Thơ,Huyện Thới Lai,NO,NO
Thành phố Cần Thơ,Huyện Vĩnh Thạnh,"https://vi.wikipedia.org/wiki/V%C4%A9nh_Th%E1%BA%A1nh_(huy%E1%BB%87n),_C%E1%BA%A7n_Th%C6%A1#%C4%90%C6%B0%E1%BB%9Dng_ph%E1%BB%91",Phù Đổng Thiên Vương
Thành phố Cần Thơ,Quận Bình Thủy,https://vi.wikipedia.org/wiki/B%C3%ACnh_Th%E1%BB%A7y_(qu%E1%BA%ADn)#Giao_th%C3%B4ng,"Cách mạng Tháng 8
Lê Hồng Phong
Nguyễn Văn Linh
Võ Văn Kiệt
Bùi Hữu Nghĩa
Nguyễn Chí Thanh
Tỉnh lộ 920
Tỉnh lộ 922 
Đồng Ngọc Sứ
Đồng Văn Cống
Lê Văn Bì
Lê Quang Chiểu
Lê Văn Sô
Nguyễn Đệ
Nguyễn Thông
Nguyễn Việt Dũng
Phạm Hữu Lầu
Phạm Ngọc Hưng
Thái Thị Nhạn
Trần Quang Diệu
Trần Văn Nghiêm
Đặng Thị Nhường
Huỳnh Mẫn Đạt
Nguyễn Thị Tính
Đặng Văn Dầy
Đỗ Trọng Văn
Huỳnh Phan Hộ
Nguyễn Chánh Tâm
Nguyễn Truyền Thanh
Lạc Long Quân
Hồ Trung Thành
Huỳnh Phan Hộ
Lê Thị Hồng Gấm
Nguyễn Viết Xuân
Đinh Công Chánh
Nguyễn Thanh Sơn
Nguyễn Thị Tạo
Đinh Công Chánh
Lê Thị Phỉ
Nguyễn Văn Trường
Đặng Xuân Hồng
Nguyễn Viết Xuân
Phạm Thị Ban"
Thành phố Cần Thơ,Quận Thốt Nốt,https://vi.wikipedia.org/wiki/Th%E1%BB%91t_N%E1%BB%91t_(qu%E1%BA%ADn)#%C4%90%C6%B0%E1%BB%9Dng_ph%E1%BB%91,"30 tháng 4
Bạch Đằng
Hòa Bình
Lê Lợi
Lê Thị Tạo
Lương Thế Vinh
Mai Văn Bộ
Nguyễn Công Trứ
Nguyễn Hữu Cảnh
Nguyễn Kim
Nguyễn Thái Học
Nguyễn Thị Lưu
Nguyễn Trọng Quyền
Nguyễn Trung Trực
Nguyễn Tuân
Nguyễn Văn Kim
Phan Đình Giót
Sư Vạn Hạnh
Thanh Niên
Thoại Ngọc Hầu
Trịnh Hoài Đức
Trưng Nữ Vương
Tự Do
Võ Duy Dương
Võ Thị Kim Anh
Lê Thị Tám
Hồ Biểu Chánh
Huỳnh Năng Nhiêu"
Thành phố Huế,Thị xã Hương Trà,https://vi.wikipedia.org/wiki/H%C6%B0%C6%A1ng_Tr%C3%A0_(th%E1%BB%8B_x%C3%A3)#Giao_th%C3%B4ng,"CMT8, Lý Nhân Tông, Sông Bồ, Lý Bôn, Kim Trà, Lý Thần Tông, Tôn Thất Bách"
Thành phố Hà Nội,Huyện Ba Vì,https://vi.wikipedia.org/wiki/Ba_V%C3%AC_(huy%E1%BB%87n)#%C4%90%C6%B0%E1%BB%9Dng_ph%E1%BB%91,"Chùa Cao
Cống Ải
Đá Bạc
Đông Hưng
Gò Sóc
Phú Mỹ
Quảng Oai
Tây Đằng
Vân Trai
Vũ Lâm"
Thành phố Hà Nội,Huyện Chương Mỹ,https://vi.wikipedia.org/wiki/Ch%C6%B0%C6%A1ng_M%E1%BB%B9_(huy%E1%BB%87n)#%C4%90%C6%B0%E1%BB%9Dng_ph%E1%BB%91,"Biên Giang
Chùa Trầm
Chúc Sơn
Chương Đức
Đồng Dâu
Hòa Sơn
Ngọc Sơn
Ninh Kiều
Phượng Bãi
Yên Sơn"
Thành phố Hà Nội,Huyện Gia Lâm,https://vi.wikipedia.org/wiki/Gia_L%C3%A2m#%C4%90%C6%B0%E1%BB%9Dng_ph%E1%BB%91,"Bát Khối
Bát Tràng
Chính Trung
Cổ Bi
Cửu Việt
Đa Tốn
Đặng Công Chất
Đặng Phúc Thông
Đào Xuyên
Đình Xuyên
Đoàn Quang Dung
Dương Đức Hiền
Dương Hà
Dương Quang
Dương Xá
Gia Cốc
Giang Cao
Giáp Hải
Hà Huy Tập
Kiêu Kỵ
Kim Lan
Lệ Chi
Lý Thánh Tông
Ngô Xuân Quảng
Nguyễn Bình
Nguyễn Đức Thuận
Nguyễn Huy Nhuận
Nguyễn Huy Phan
Nguyễn Khiêm Ích
Nguyễn Mậu Tài
Nguyễn Quý Trị
Ninh Hiệp
Phan Đăng Lưu
Phù Đổng
Phú Thị
Sen Hồ
Thành Trung
Thiên Đức
Thuận An
Trâu Quỳ
Trung Hưng
Trung Mầu
Trung Thành
Ỷ Lan
Yên Thường"
Thành phố Hà Nội,Huyện Hoài Đức,NO,NO
