province,ward,provinceShort,wardShort,wardType,provinceCode,provinceLat,provinceLon,wardCode,wardLat,wardLon,wardAreaKm2
Thành phố Hà Nội,Phường Hồng Hà,Hà Nội,Hồng Hà,Phường,1,21.0001,105.698,97,21.0567,105.845,15.09
Thành phố Hà Nội,Phường Ba Đình,Hà Nội,Ba Đình,Phường,1,21.0001,105.698,4,21.0386,105.838,2.97
Thành phố Hà Nội,Phường Ngọc Hà,Hà Nội,Ngọc Hà,Phường,1,21.0001,105.698,8,21.0381,105.816,2.68
Thành phố Hà Nội,Phường Giảng Võ,Hà Nội,Giảng Võ,Phường,1,21.0001,105.698,25,21.0275,105.814,2.6
Thành phố Hà Nội,Phường Hoàn Kiếm,Hà Nội,Hoàn Kiếm,Phường,1,21.0001,105.698,70,21.032,105.85,1.91
Thành phố Hà Nội,Phường Ô Chợ Dừa,Hà Nội,Ô Chợ Dừa,Phường,1,21.0001,105.698,190,21.0243,105.826,1.83
Thành phố Hà Nội,Phường Văn Miếu - Quốc Tử Giám,Hà Nội,Văn Miếu - Quốc Tử Giám,Phường,1,21.0001,105.698,226,21.0199,105.837,1.92
Thành phố Hà Nội,Phường Láng,Hà Nội,Láng,Phường,1,21.0001,105.698,199,21.0211,105.806,1.88
Thành phố Hà Nội,Phường Cửa Nam,Hà Nội,Cửa Nam,Phường,1,21.0001,105.698,82,21.0226,105.851,1.68
Thành phố Hà Nội,Phường Phú Thượng,Hà Nội,Phú Thượng,Phường,1,21.0001,105.698,91,21.086,105.802,7.21
Thành phố Hà Nội,Phường Tây Hồ,Hà Nội,Tây Hồ,Phường,1,21.0001,105.698,103,21.058,105.82,10.72
Thành phố Hà Nội,Phường Nghĩa Đô,Hà Nội,Nghĩa Đô,Phường,1,21.0001,105.698,160,21.0451,105.794,4.34
Thành phố Hà Nội,Phường Xuân Đỉnh,Hà Nội,Xuân Đỉnh,Phường,1,21.0001,105.698,611,21.0645,105.795,5.46
Thành phố Hà Nội,Phường Bồ Đề,Hà Nội,Bồ Đề,Phường,1,21.0001,105.698,118,21.0514,105.87,12.94
Thành phố Hà Nội,Phường Việt Hưng,Hà Nội,Việt Hưng,Phường,1,21.0001,105.698,127,21.0648,105.904,12.91
Thành phố Hà Nội,Phường Phúc Lợi,Hà Nội,Phúc Lợi,Phường,1,21.0001,105.698,136,21.0422,105.919,10.41
Thành phố Hà Nội,Phường Long Biên,Hà Nội,Long Biên,Phường,1,21.0001,105.698,145,21.0197,105.896,19.04
Thành phố Hà Nội,Xã Bát Tràng,Hà Nội,Bát Tràng,Xã,1,21.0001,105.698,577,20.9928,105.917,20.67
Thành phố Hà Nội,Xã Gia Lâm,Hà Nội,Gia Lâm,Xã,1,21.0001,105.698,565,21.002,105.949,25.72
Thành phố Hà Nội,Phường Phú Diễn,Hà Nội,Phú Diễn,Phường,1,21.0001,105.698,619,21.0489,105.766,6.29
Thành phố Hà Nội,Phường Từ Liêm,Hà Nội,Từ Liêm,Phường,1,21.0001,105.698,592,21.0204,105.771,10.18
Thành phố Hà Nội,Phường Cầu Giấy,Hà Nội,Cầu Giấy,Phường,1,21.0001,105.698,166,21.0309,105.788,3.74
Thành phố Hà Nội,Phường Yên Hòa,Hà Nội,Yên Hòa,Phường,1,21.0001,105.698,175,21.0139,105.796,4.1
Thành phố Hà Nội,Phường Đại Mỗ,Hà Nội,Đại Mỗ,Phường,1,21.0001,105.698,637,20.9935,105.775,8.1
Thành phố Hà Nội,Phường Thanh Xuân,Hà Nội,Thanh Xuân,Phường,1,21.0001,105.698,367,20.9995,105.805,3.24
Thành phố Hà Nội,Phường Đống Đa,Hà Nội,Đống Đa,Phường,1,21.0001,105.698,235,21.0119,105.822,2.07
Thành phố Hà Nội,Phường Kim Liên,Hà Nội,Kim Liên,Phường,1,21.0001,105.698,229,21.0057,105.832,2.46
Thành phố Hà Nội,Phường Bạch Mai,Hà Nội,Bạch Mai,Phường,1,21.0001,105.698,292,21.0022,105.852,2.95
Thành phố Hà Nội,Phường Hai Bà Trưng,Hà Nội,Hai Bà Trưng,Phường,1,21.0001,105.698,256,21.0136,105.852,2.65
Thành phố Hà Nội,Phường Lĩnh Nam,Hà Nội,Lĩnh Nam,Phường,1,21.0001,105.698,328,20.9656,105.89,10.86
Thành phố Hà Nội,Phường Vĩnh Tuy,Hà Nội,Vĩnh Tuy,Phường,1,21.0001,105.698,283,20.998,105.867,2.33
Thành phố Hà Nội,Phường Tương Mai,Hà Nội,Tương Mai,Phường,1,21.0001,105.698,322,20.9893,105.854,3.56
Thành phố Hà Nội,Phường Vĩnh Hưng,Hà Nội,Vĩnh Hưng,Phường,1,21.0001,105.698,301,20.9906,105.883,4.47
Thành phố Hà Nội,Phường Hoàng Mai,Hà Nội,Hoàng Mai,Phường,1,21.0001,105.698,331,20.9746,105.862,9.04
Thành phố Hà Nội,Phường Định Công,Hà Nội,Định Công,Phường,1,21.0001,105.698,316,20.9769,105.825,5.34
Thành phố Hà Nội,Phường Phương Liệt,Hà Nội,Phương Liệt,Phường,1,21.0001,105.698,352,20.9926,105.832,3.2
Thành phố Hà Nội,Phường Hoàng Liệt,Hà Nội,Hoàng Liệt,Phường,1,21.0001,105.698,337,20.9615,105.832,4.04
Thành phố Hà Nội,Phường Khương Đình,Hà Nội,Khương Đình,Phường,1,21.0001,105.698,364,20.991,105.815,3.1
Thành phố Hà Nội,Phường Thanh Liệt,Hà Nội,Thanh Liệt,Phường,1,21.0001,105.698,643,20.9645,105.809,6.44
Thành phố Hà Nội,Phường Yên Sở,Hà Nội,Yên Sở,Phường,1,21.0001,105.698,340,20.9567,105.857,5.61
Thành phố Hà Nội,Xã Thanh Trì,Hà Nội,Thanh Trì,Xã,1,21.0001,105.698,640,20.9388,105.859,10.15
