province,ward,provinceShort,wardShort,wardType,provinceCode,provinceLat,provinceLon,wardCode,wardLat,wardLon,wardAreaKm2
Thủ đô Hà Nội,Phường Hồng Hà,Hà Nội,Hồng Hà,Phường,1,21.0001,105.698,42.0,21.0567,105.845,15.09
Thủ đô Hà Nội,Phường Ba Đình,Hà Nội,Ba Đình,Phường,1,21.0001,105.698,3.0,21.0386,105.838,2.97
Thủ đô Hà Nội,Phường Ngọc Hà,Hà Nội,Ngọc Hà,Phường,1,21.0001,105.698,61.0,21.0381,105.816,2.68
Thủ đô Hà Nội,Phường Giảng Võ,Hà Nội,Giảng Võ,Phường,1,21.0001,105.698,30.0,21.0275,105.814,2.6
Thủ đô Hà Nội,Phường Hoàn Kiếm,Hà Nội,Hoàn Kiếm,Phường,1,21.0001,105.698,39.0,21.032,105.85,1.91
Thủ đô Hà Nội,Phường Ô Chợ Dừa,Hà Nội,Ô Chợ Dừa,Phường,1,21.0001,105.698,64.0,21.0243,105.826,1.83
Thủ đô Hà Nội,Phường Văn Miếu - Quốc Tử Giám,Hà Nội,Văn Miếu - Quốc Tử Giám,Phường,1,21.0001,105.698,113.0,21.0199,105.837,1.92
Thủ đô Hà Nội,Phường Láng,Hà Nội,Láng,Phường,1,21.0001,105.698,52.0,21.0211,105.806,1.88
Thủ đô Hà Nội,Phường Cửa Nam,Hà Nội,Cửa Nam,Phường,1,21.0001,105.698,15.0,21.0226,105.851,1.68
Thủ đô Hà Nội,Phường Phú Thượng,Hà Nội,Phú Thượng,Phường,1,21.0001,105.698,71.0,21.086,105.802,7.21
Thủ đô Hà Nội,Phường Tây Hồ,Hà Nội,Tây Hồ,Phường,1,21.0001,105.698,89.0,21.058,105.82,10.72
Thủ đô Hà Nội,Phường Nghĩa Đô,Hà Nội,Nghĩa Đô,Phường,1,21.0001,105.698,60.0,21.0451,105.794,4.34
Thủ đô Hà Nội,Phường Xuân Đỉnh,Hà Nội,Xuân Đỉnh,Phường,1,21.0001,105.698,119.0,21.0645,105.795,5.46
Thủ đô Hà Nội,Phường Bồ Đề,Hà Nội,Bồ Đề,Phường,1,21.0001,105.698,9.0,21.0514,105.87,12.94
Thủ đô Hà Nội,Phường Việt Hưng,Hà Nội,Việt Hưng,Phường,1,21.0001,105.698,115.0,21.0648,105.904,12.91
Thủ đô Hà Nội,Phường Phúc Lợi,Hà Nội,Phúc Lợi,Phường,1,21.0001,105.698,74.0,21.0422,105.919,10.41
Thủ đô Hà Nội,Phường Long Biên,Hà Nội,Long Biên,Phường,1,21.0001,105.698,55.0,21.0197,105.896,19.04
Thủ đô Hà Nội,Xã Bát Tràng,Hà Nội,Bát Tràng,Xã,1,21.0001,105.698,7.0,20.9928,105.917,20.67
Thủ đô Hà Nội,Xã Gia Lâm,Hà Nội,Gia Lâm,Xã,1,21.0001,105.698,29.0,21.002,105.949,25.72
Thủ đô Hà Nội,Phường Phú Diễn,Hà Nội,Phú Diễn,Phường,1,21.0001,105.698,67.0,21.0489,105.766,6.29
Thủ đô Hà Nội,Phường Từ Liêm,Hà Nội,Từ Liêm,Phường,1,21.0001,105.698,107.0,21.0204,105.771,10.18
Thủ đô Hà Nội,Phường Cầu Giấy,Hà Nội,Cầu Giấy,Phường,1,21.0001,105.698,10.0,21.0309,105.788,3.74
Thủ đô Hà Nội,Phường Yên Hòa,Hà Nội,Yên Hòa,Phường,1,21.0001,105.698,123.0,21.0139,105.796,4.1
Thủ đô Hà Nội,Phường Đại Mỗ,Hà Nội,Đại Mỗ,Phường,1,21.0001,105.698,17.0,20.9935,105.775,8.1
Thủ đô Hà Nội,Phường Thanh Xuân,Hà Nội,Thanh Xuân,Phường,1,21.0001,105.698,97.0,20.9995,105.805,3.24
Thủ đô Hà Nội,Phường Đống Đa,Hà Nội,Đống Đa,Phường,1,21.0001,105.698,25.0,21.0119,105.822,2.07
Thủ đô Hà Nội,Phường Kim Liên,Hà Nội,Kim Liên,Phường,1,21.0001,105.698,51.0,21.0057,105.832,2.46
Thủ đô Hà Nội,Phường Bạch Mai,Hà Nội,Bạch Mai,Phường,1,21.0001,105.698,5.0,21.0022,105.852,2.95
Thủ đô Hà Nội,Phường Hai Bà Trưng,Hà Nội,Hai Bà Trưng,Phường,1,21.0001,105.698,33.0,21.0136,105.852,2.65
Thủ đô Hà Nội,Phường Lĩnh Nam,Hà Nội,Lĩnh Nam,Phường,1,21.0001,105.698,54.0,20.9656,105.89,10.86
Thủ đô Hà Nội,Phường Vĩnh Tuy,Hà Nội,Vĩnh Tuy,Phường,1,21.0001,105.698,118.0,20.998,105.867,2.33
Thủ đô Hà Nội,Phường Tương Mai,Hà Nội,Tương Mai,Phường,1,21.0001,105.698,109.0,20.9893,105.854,3.56
Thủ đô Hà Nội,Phường Vĩnh Hưng,Hà Nội,Vĩnh Hưng,Phường,1,21.0001,105.698,116.0,20.9906,105.883,4.47
Thủ đô Hà Nội,Phường Hoàng Mai,Hà Nội,Hoàng Mai,Phường,1,21.0001,105.698,41.0,20.9746,105.862,9.04
Thủ đô Hà Nội,Phường Định Công,Hà Nội,Định Công,Phường,1,21.0001,105.698,22.0,20.9769,105.825,5.34
Thủ đô Hà Nội,Phường Phương Liệt,Hà Nội,Phương Liệt,Phường,1,21.0001,105.698,79.0,20.9926,105.832,3.2
Thủ đô Hà Nội,Phường Hoàng Liệt,Hà Nội,Hoàng Liệt,Phường,1,21.0001,105.698,40.0,20.9615,105.832,4.04
Thủ đô Hà Nội,Phường Khương Đình,Hà Nội,Khương Đình,Phường,1,21.0001,105.698,47.0,20.991,105.815,3.1
Thủ đô Hà Nội,Phường Thanh Liệt,Hà Nội,Thanh Liệt,Phường,1,21.0001,105.698,94.0,20.9645,105.809,6.44
Thủ đô Hà Nội,Phường Yên Sở,Hà Nội,Yên Sở,Phường,1,21.0001,105.698,126.0,20.9567,105.857,5.61
Thủ đô Hà Nội,Xã Thanh Trì,Hà Nội,Thanh Trì,Xã,1,21.0001,105.698,96.0,20.9388,105.859,10.15
Thủ đô Hà Nội,Xã Sóc Sơn,Hà Nội,Sóc Sơn,Xã,1,21.0001,105.698,84.0,21.2462,105.85,68.24
Thủ đô Hà Nội,Xã Trung Giã,Hà Nội,Trung Giã,Xã,1,21.0001,105.698,106.0,21.3318,105.831,77.52
Thủ đô Hà Nội,Xã Kim Anh,Hà Nội,Kim Anh,Xã,1,21.0001,105.698,50.0,21.2765,105.763,52.8
Thủ đô Hà Nội,Xã Đa Phúc,Hà Nội,Đa Phúc,Xã,1,21.0001,105.698,16.0,21.2506,105.901,55.32
Thủ đô Hà Nội,Xã Nội Bài,Hà Nội,Nội Bài,Xã,1,21.0001,105.698,63.0,21.2303,105.785,51.64
Thủ đô Hà Nội,Xã Đông Anh,Hà Nội,Đông Anh,Xã,1,21.0001,105.698,24.0,21.1101,105.872,48.68
Thủ đô Hà Nội,Xã Thư Lâm,Hà Nội,Thư Lâm,Xã,1,21.0001,105.698,99.0,21.1648,105.888,43.84
Thủ đô Hà Nội,Xã Phúc Thịnh,Hà Nội,Phúc Thịnh,Xã,1,21.0001,105.698,76.0,21.1623,105.815,42.63
Thủ đô Hà Nội,Xã Vĩnh Thanh,Hà Nội,Vĩnh Thanh,Xã,1,21.0001,105.698,117.0,21.1079,105.818,22.52
