address,latitude,longitude,bounds,geo_address
"Quận Ba Đình, Thành phố Hà Nội",21.035852,105.826094,"21.016004,105.801279 – 21.053565,105.857015","Ba Đình, Hanoi, Vietnam"
"Quận Hoàn Kiếm, Thành phố Hà Nội",21.027266,105.855451,"21.018081,105.840612 – 21.042733,105.86776","Hoàn Kiếm, Hanoi, Vietnam"
"Quận Tây Hồ, Thành phố Hà Nội",21.073802,105.823159,"21.039578,105.791655 – 21.097916,105.849154","Tây Hồ, Hanoi, Vietnam"
"Quận Long Biên, Thành phố Hà Nội",21.038676,105.887749,"20.99433,105.841669 – 21.081584,105.938928","Long Biên, Hanoi, Vietnam"
"Quận Cầu Giấy, Thành phố Hà Nội",21.027601,105.790872,"21.001058,105.767808 – 21.059235,105.813539","Cầu Giấy, Hanoi, Vietnam"
"Quận Đống Đa, Thành phố Hà Nội",21.014732,105.834901,"20.997292,105.797593 – 21.03195,105.84271","Đống Đa, Hanoi, Vietnam"
"Quận Hai Bà Trưng, Thành phố Hà Nội",21.004087,105.855451,"20.991023,105.840808 – 21.022419,105.882924","Hai Bà Trưng District, Hanoi, Vietnam"
"Quận Hoàng Mai, Thành phố Hà Nội",20.971381,105.864259,"20.945608,105.807367 – 21.002336,105.909127","Hoàng Mai, Hanoi, Vietnam"
"Quận Thanh Xuân, Thành phố Hà Nội",20.993777,105.811418,"20.980704,105.792287 – 21.00887,105.842833","Thanh Xuân, Hanoi, Vietnam"
"Huyện Sóc Sơn, Thành phố Hà Nội",21.262257,105.852515,"21.177029,105.723192 – 21.385278,105.93882","Soc Son, Hanoi, Vietnam"
"Huyện Đông Anh, Thành phố Hà Nội",21.123164,105.852515,"21.066728,105.733322 – 21.206658,105.926549","Đông Anh, Hanoi, Vietnam"
"Huyện Gia Lâm, Thành phố Hà Nội",21.031939,105.958237,"20.926328,105.880257 – 21.121305,106.020073","Gia Lâm, Hanoi, Vietnam"
"Quận Nam Từ Liêm, Thành phố Hà Nội",21.003461,105.770329,"20.979107,105.726194 – 21.056525,105.79838","Nam Từ Liêm, Hanoi, Vietnam"
"Huyện Thanh Trì, Thành phố Hà Nội",20.927252,105.840772,"20.895464,105.788133 – 20.987775,105.913109","Thanh Trì, Hanoi, Vietnam"
"Quận Bắc Từ Liêm, Thành phố Hà Nội",21.07302,105.770329,"21.037956,105.717182 – 21.104867,105.805063","Bac Tu Liem, Hanoi, Vietnam"
"Huyện Mê Linh, Thành phố Hà Nội",21.182938,105.711646,"21.121658,105.615143 – 21.239631,105.791923","Mê Linh, Hanoi, Vietnam"
