address,latitude,longitude,bounds,geo_address
Tỉnh Bến Tre,10.108155,106.440587,"9.790439,106.028225 – 10.340423,106.791908","Ben Tre, Vietnam"
Tỉnh An Giang,10.521584,105.125896,"10.183524,104.778069 – 10.962524,105.575616","An Giang, Vietnam"
Tỉnh Hải Dương,20.90872,106.393478,"20.684379,106.124369 – 21.236993,106.611436","Hai Duong, Vietnam"
Tỉnh Quảng Ninh,21.24325,107.19572,"20.687466,106.439154 – 21.663764,108.08694","Quảng Ninh, Vietnam"
Tỉnh Bình Dương,11.142383,106.62913,"10.863808,106.326367 – 11.500854,106.966691","Binh Duong, Vietnam"
Tỉnh Thanh Hóa,19.825986,105.594339,"19.286987,104.374384 – 20.67067,106.075862","Thanh Hoa, Vietnam"
Thành phố Hải Phòng,20.844912,106.688084,"20.814211,106.637592 – 20.879263,106.759901","Haiphong, Hai Phong, Vietnam"
Tỉnh Lạng Sơn,21.856371,106.62913,"21.32515,106.09538 – 22.461466,107.363976","Lạng Sơn, Vietnam"
Thành phố Hà Nội,21.027764,105.83416,"20.995099,105.797482 – 21.05038,105.876446","Hanoi, Vietnam"
Tỉnh Sóc Trăng,9.617375,105.876004,"9.243698,105.543663 – 9.938067,106.335103","Soc Trang, Vietnam"
Tỉnh Hậu Giang,9.757898,105.641253,"9.582151,105.328525 – 9.994115,105.896806","Hau Giang, Vietnam"
Thành phố Cần Thơ,10.045162,105.746854,"9.993703,105.717058 – 10.074671,105.798083","Can Tho, Ninh Kiều, Cần Thơ, Vietnam"
Tỉnh Tây Ninh,11.349477,106.064018,"10.962521,105.808429 – 11.782825,106.492408","Tây Ninh, Vietnam"
Tỉnh Hà Giang,22.766206,104.938885,"22.16556,104.335331 – 23.39265,105.57408","Hà Giang, Vietnam"
Tỉnh Hà Tĩnh,18.245968,105.688179,"17.90839,105.104008 – 18.804859,106.510618","Ha Tinh, Vietnam"
Tỉnh Hòa Bình,20.686127,105.313119,"20.305359,104.836475 – 21.112768,105.85722","Hoa Binh, Vietnam"
Thành phố Hồ Chí Minh,10.823099,106.629664,"10.34937,106.363878 – 11.160214,107.026577","Ho Chi Minh City, Vietnam"
Tỉnh Khánh Hòa,12.209887,109.092876,"11.768928,108.671013 – 12.868524,109.469249","Khánh Hòa, Vietnam"
Tỉnh Long An,10.685145,106.205148,"10.395415,105.498589 – 11.03217,106.748486","Long An, Vietnam"
Tỉnh Thái Nguyên,21.561377,105.876004,"21.325344,105.477505 – 22.047867,106.237992","Thai Nguyen, Vietnam"
Tỉnh Quảng Ngãi,15.075984,108.712579,"14.53273,108.235489 – 15.433271,109.147416","Quang Ngai, Vietnam"
Tỉnh Ninh Thuận,11.699403,108.902683,"11.306938,108.551662 – 12.164534,109.23348","Ninh Thuận, Vietnam"
Tỉnh Hưng Yên,20.852571,106.016997,"20.603096,105.895325 – 21.007209,106.269528","Hung Yen, Vietnam"
Tỉnh Ninh Bình,20.212997,105.92299,"19.915586,105.542759 – 20.454709,106.168197","Ninh Bình, Vietnam"
Tỉnh Hà Nam,20.58352,105.92299,"20.362918,105.768582 – 20.704382,106.183314","Hà Nam, Vietnam"
Tỉnh Phú Yên,13.088186,109.092876,"12.706478,108.673108 – 13.695148,109.459014","Phú Yên, Vietnam"
Tỉnh Tiền Giang,10.419005,106.299291,"10.19041,105.815732 – 10.587144,106.816692","Tien Giang, Vietnam"
Tỉnh Bình Định,14.166532,108.902683,"13.515217,108.601252 – 14.703202,109.370951","Binh Dinh, Vietnam"
Tỉnh Đồng Tháp,10.493799,105.688179,"10.134119,105.187392 – 10.973419,105.942089","Dong Thap, Vietnam"
Thành phố Đà Nẵng,16.054407,108.202167,"15.999203,108.177996 – 16.095135,108.235417","Da Nang, Hải Châu District, Da Nang, Vietnam"
Tỉnh Tuyên Quang,22.172671,105.313119,"21.497589,104.848598 – 22.69597,105.598308","Tuyên Quang, Vietnam"
Tỉnh Đồng Nai,11.109764,107.19572,"10.522389,106.751168 – 11.581994,107.577289","Dong Nai, Vietnam"
Tỉnh Bình Thuận,11.064489,107.953184,"10.48313,107.394199 – 11.555579,108.969445","Bình Thuận, Vietnam"
Tỉnh Vĩnh Long,10.086128,106.016997,"9.882871,105.682816 – 10.330647,106.289636","Vinh Long, Vietnam"
Tỉnh Cà Mau,8.96241,105.125896,"8.408631,104.70541 – 9.562016,105.41915","Ca Mau, Vietnam"
Tỉnh Đắk Lắk,12.710012,108.237752,"12.160793,107.484724 – 13.416587,108.9953","Dak Lak, Vietnam"
Tỉnh Đắk Nông,12.301768,107.763621,"11.748847,107.206454 – 12.812316,108.116696","Dak Nong, Vietnam"
